code,fiscal_year,cash,retained_earnings,ppe,rd_expense,capex,depreciation,short_term_debt,long_term_debt,status,interest_bearing_debt
1301,2025,7514000000.0,47725000000.0,28588000000.0,332000000.0,8124000000.0,2624000000.0,51719000000.0,35604000000.0,ok,87323000000.0
1332,2025,18686000000.0,171996000000.0,180939000000.0,4985000000.0,11735000000.0,25078000000.0,129110000000.0,95832000000.0,ok,224942000000.0
1333,2025,48422000000.0,141324000000.0,158211000000.0,1843000000.0,22043000000.0,17328000000.0,138069000000.0,132842000000.0,ok,270911000000.0
1375,2025,3727000000.0,6277000000.0,17777000000.0,377000000.0,2062000000.0,118000000.0,1431000000.0,15460000000.0,ok,16891000000.0
1376,2025,1608082000.0,21367459000.0,7864752000.0,942404000.0,1211000000.0,548835000.0,,,ok,
1377,2025,22445000000.0,126607000000.0,48763000000.0,10625000000.0,8496000000.0,4610000000.0,2281000000.0,587000000.0,ok,2868000000.0
1379,2025,15069000000.0,47044000000.0,56796000000.0,732000000.0,1640000000.0,5563000000.0,10379000000.0,12672000000.0,ok,23051000000.0
1380,2025,968035000.0,861486000.0,3875348000.0,30481000.0,495000000.0,488342000.0,1895603000.0,1713918000.0,ok,3609521000.0
1381,2025,7733000000.0,20519000000.0,10886000000.0,39000000.0,1774000000.0,1771000000.0,,48000000.0,ok,48000000.0
1382,2025,306105000.0,224626000.0,93041000.0,34580000.0,21198000.0,19707000.0,4016000.0,,ok,4016000.0
1383,2025,873211000.0,795082000.0,2922273000.0,109914000.0,640019000.0,292273000.0,970560000.0,1406721000.0,ok,2377281000.0
1384,2025,4194000000.0,12157000000.0,11308000000.0,,2129000000.0,1126000000.0,294000000.0,1134000000.0,ok,1428000000.0
1401,2025,1827413000.0,3274610000.0,252812000.0,253000.0,100754000.0,32264000.0,,,ok,
1407,2025,35707000000.0,39130000000.0,44766000000.0,0.0,3651000000.0,2576000000.0,23963000000.0,70108000000.0,ok,94071000000.0
1414,2025,32523000000.0,80472000000.0,16035000000.0,565000000.0,948000000.0,630000000.0,,,ok,
1417,2025,51350000000.0,201526000000.0,101109000000.0,371000000.0,10301000000.0,11264000000.0,42596000000.0,70495000000.0,ok,113091000000.0
1418,2026,2598395000.0,1217658000.0,1131306000.0,,-35969000.0,84733000.0,681472000.0,774457000.0,ok,1455929000.0
1419,2025,31001000000.0,27229000000.0,18676000000.0,137000000.0,1736000000.0,2487000000.0,11132000000.0,7917000000.0,ok,19049000000.0
1420,2025,9232054000.0,6770994000.0,3086243000.0,94213000.0,107000000.0,163518000.0,8294000000.0,10013000000.0,ok,18307000000.0
1429,2025,2415160000.0,9168917000.0,4480123000.0,36640000.0,503000000.0,214095000.0,4800000000.0,,ok,4800000000.0
1430,2025,5400034000.0,9329428000.0,159839000.0,,-39718000.0,12024000.0,1521663000.0,3192780000.0,ok,4714443000.0
1431,2025,3809392000.0,2614029000.0,1506513000.0,42723000.0,409965000.0,272640000.0,2320363000.0,1486033000.0,ok,3806396000.0
1433,2026,1434387000.0,2384000000.0,284198000.0,9726000.0,8772000.0,29427000.0,452644000.0,118056000.0,ok,570700000.0
1434,2025,3012672000.0,5138012000.0,2308684000.0,,442000000.0,254531000.0,1710840000.0,3802718000.0,ok,5513558000.0
1435,2025,7505020000.0,3938065000.0,2267434000.0,49844000.0,827263000.0,164200000.0,797252000.0,525309000.0,ok,1322561000.0
1436,2025,911167000.0,3498807000.0,1027693000.0,,149743000.0,51559000.0,1949390000.0,3688335000.0,ok,5637725000.0
1438,2025,2618800000.0,3278956000.0,1394388000.0,,33505000.0,38114000.0,226664000.0,25272000.0,ok,251936000.0
1443,2025,1364173000.0,7991477000.0,6135170000.0,9000000.0,32747000.0,166005000.0,537493000.0,2766632000.0,ok,3304125000.0
1444,2025,1878851000.0,1111051000.0,262129000.0,,29264000.0,20805000.0,769605000.0,292934000.0,ok,1062539000.0
1446,2025,1626858000.0,869970000.0,77721000.0,,52794000.0,67354000.0,970000000.0,250000000.0,ok,1220000000.0
1447,2025,3044362000.0,23209000.0,2753915000.0,29584000.0,671386000.0,523729000.0,5166011000.0,3865174000.0,ok,9031185000.0
1450,2025,3935515000.0,7591352000.0,975422000.0,,38928000.0,51369000.0,,,ok,
1491,2025,4141237000.0,2014850000.0,2806223000.0,,88504000.0,118845000.0,1538746000.0,1177532000.0,ok,2716278000.0
1514,2025,15351000000.0,25254000000.0,4921000000.0,,209000000.0,127000000.0,,,ok,
1515,2025,37789000000.0,115864000000.0,84286000000.0,969000000.0,21272000000.0,8404000000.0,12685000000.0,9771000000.0,ok,22456000000.0
1518,2025,8973000000.0,59875000000.0,15246000000.0,,1475000000.0,1394000000.0,30028000000.0,3056000000.0,ok,33084000000.0
1605,2025,203000000.0,980731000000.0,9281000000.0,15829000000.0,15400000000.0,1132000000.0,403055000000.0,491771000000.0,ok,894826000000.0
1662,2025,140931000000.0,445499000000.0,227590000000.0,388000000.0,78050000000.0,49906000000.0,,,ok,
1663,2025,29857000000.0,80252000000.0,42997000000.0,33000000.0,7546000000.0,6293000000.0,331000000.0,546000000.0,ok,877000000.0
1711,2025,420014000.0,-3821697000.0,1577948000.0,,704402000.0,44968000.0,1962857000.0,1552664000.0,ok,3515521000.0
1716,2025,8209000000.0,18359448000.0,6000351000.0,77496000.0,854502000.0,778326000.0,34536000.0,156270000.0,ok,190806000.0
1717,2025,829338000.0,4928037000.0,92472000.0,4909000.0,168693000.0,53690000.0,,,ok,
1718,2025,2829958000.0,15517436000.0,15363774000.0,,604302000.0,488851000.0,7512300000.0,2723109000.0,ok,10235409000.0
1719,2025,55772000000.0,145412000000.0,35440000000.0,4500000000.0,3500000000.0,3504000000.0,20982000000.0,6916000000.0,ok,27898000000.0
1720,2025,39666000000.0,76145000000.0,23641000000.0,1236000000.0,739000000.0,1237000000.0,5580000000.0,21130000000.0,ok,26710000000.0
1721,2025,38146000000.0,317908000000.0,147059000000.0,114000000.0,3265000000.0,11492000000.0,2996000000.0,13000000.0,ok,3009000000.0
1723,2025,10746000000.0,37856000000.0,872000000.0,76000000.0,542000000.0,426000000.0,,,ok,
1724,2025,903000000.0,4445000000.0,2722000000.0,175000000.0,162000000.0,216000000.0,1099000000.0,384000000.0,ok,1483000000.0
1726,2025,1680000000.0,9293000000.0,6410000000.0,90000000.0,1750000000.0,424000000.0,15560000000.0,3476000000.0,ok,19036000000.0
1736,2025,8341066000.0,20193030000.0,3911289000.0,52839000.0,-734689000.0,302304000.0,1306708000.0,329676000.0,ok,1636384000.0
1758,2026,3619902000.0,8544455000.0,2075249000.0,59554000.0,438000000.0,319648000.0,52769000.0,83344000.0,ok,136113000.0
1762,2025,35723000000.0,130932000000.0,46816000000.0,576000000.0,1679000000.0,2051000000.0,15000000000.0,5000000000.0,ok,20000000000.0
1764,2025,2029887000.0,4015466000.0,3981035000.0,,403000000.0,287724000.0,3073090000.0,1987807000.0,ok,5060897000.0
1766,2025,134944000000.0,128519000000.0,41847000000.0,,2869000000.0,2146000000.0,,,ok,
1768,2025,1305396000.0,7602960000.0,1535737000.0,,328000000.0,80465000.0,,,ok,
1770,2025,7663185000.0,16974126000.0,3288598000.0,,-433536000.0,217135000.0,355000000.0,50000000.0,ok,405000000.0
1776,2025,7027000000.0,10428000000.0,5914000000.0,63000000.0,321000000.0,587000000.0,,,ok,
1780,2025,12150760000.0,18189807000.0,3604009000.0,51538000.0,276000000.0,332783000.0,,,ok,
1783,2025,1463949000.0,-4911951000.0,1068095000.0,,-408398000.0,49804000.0,1769445000.0,728895000.0,ok,2498340000.0
1786,2025,19877000000.0,44241000000.0,12715000000.0,984000000.0,2511000000.0,1360000000.0,1392000000.0,2824000000.0,ok,4216000000.0
1787,2025,3916164000.0,7306840000.0,723816000.0,201495000.0,125000000.0,124678000.0,,,ok,
1788,2025,1141009000.0,1912278000.0,847684000.0,21651000.0,146095000.0,67463000.0,5000000.0,,ok,5000000.0
1793,2025,10177000000.0,52179000000.0,8163000000.0,124000000.0,288000000.0,519000000.0,3000000000.0,,ok,3000000000.0
1795,2025,3294863000.0,3111670000.0,1207170000.0,32971000.0,-21622000.0,30072000.0,276242000.0,637516000.0,ok,913758000.0
1798,2025,7529713000.0,12642572000.0,3966464000.0,23912000.0,40000000.0,196095000.0,815348000.0,21649000.0,ok,836997000.0
1799,2025,17361479000.0,64254555000.0,21340495000.0,132944000.0,3083000000.0,2012071000.0,,,ok,
1801,2025,295963000000.0,649200000000.0,246745000000.0,19500000000.0,77000000.0,16391000000.0,115212000000.0,177799000000.0,ok,293011000000.0
1802,2025,380169000000.0,853125000000.0,737577000000.0,16393000000.0,18900000000.0,32457000000.0,97532000000.0,187680000000.0,ok,285212000000.0
1803,2025,438144000000.0,612186000000.0,628702000000.0,16173000000.0,32800000000.0,33478000000.0,243576000000.0,258362000000.0,ok,501938000000.0
1807,2025,5030509000.0,16116293000.0,9811746000.0,58852000.0,664199000.0,608054000.0,2800000000.0,,ok,2800000000.0
1808,2025,235798000000.0,472561000000.0,143883000000.0,4209000000.0,20900000000.0,7999000000.0,35000000000.0,345000000000.0,ok,380000000000.0
1810,2025,12968000000.0,39356000000.0,16827000000.0,,763000000.0,493000000.0,3000000000.0,,ok,3000000000.0
1811,2025,12538000000.0,57216000000.0,24860000000.0,194000000.0,-319000000.0,536000000.0,22150000000.0,14700000000.0,ok,36850000000.0
1812,2025,349540000000.0,970255000000.0,588601000000.0,22200000000.0,75100000000.0,30851000000.0,449117000000.0,328096000000.0,ok,777213000000.0
1813,2025,10379000000.0,15436000000.0,14977000000.0,882000000.0,6917000000.0,2240000000.0,10500000000.0,850000000.0,ok,11350000000.0
1814,2025,4458000000.0,18330000000.0,2998000000.0,136000000.0,601000000.0,493000000.0,549000000.0,2654000000.0,ok,3203000000.0
1815,2025,16529000000.0,34365000000.0,37279000000.0,1101000000.0,542000000.0,1080000000.0,39845000000.0,16082000000.0,ok,55927000000.0
1820,2025,43403000000.0,122249000000.0,182842000000.0,2362000000.0,23869000000.0,4452000000.0,62848000000.0,136364000000.0,ok,199212000000.0
1822,2025,21657000000.0,17911000000.0,16842000000.0,330000000.0,195000000.0,1046000000.0,850000000.0,6000000000.0,ok,6850000000.0
1826,2025,14023000000.0,10773000000.0,4173000000.0,,-321000000.0,171000000.0,302000000.0,826000000.0,ok,1128000000.0
1827,2025,20046000000.0,32754000000.0,18088000000.0,131000000.0,-261000000.0,608000000.0,624000000.0,50000000.0,ok,674000000.0
1828,2025,10849611000.0,22013044000.0,9514069000.0,55279000.0,1189716000.0,731652000.0,400000000.0,975000000.0,ok,1375000000.0
