code,ticker,company_name,market,sector,gp_missing_review_flag,missing_metric_count,missingness_penalty,bm_score,ep_score,gp_score,piotroski_score,sloan_quality_score,liquidity_score,distress_safety_score,anomaly_penalty,microcap_penalty,one_time_profit_penalty
9022,9022.T,Central Japan Railway Company,Prime Market (Domestic),Land Transportation,True,1,0.16666666666666666,0.7652962123664616,0.8774545454545455,0.5,0.707647628267183,0.4631921824104235,0.984188447886415,1.0,0.0,0.0,0.0
9501,9501.T,"Tokyo Electric Power Company Holdings,Incorporated",Prime Market (Domestic),Electric Power and Gas,True,1,0.16666666666666666,0.9867270961476206,0.9290909090909091,0.5,0.707647628267183,0.40651465798045605,0.995159728944821,1.0,0.0,0.0,0.0
3449,3449.T,TECHNOFLEX CORPORATION,Standard Market(Domestic),Metal Products,False,0,0.0,0.05244415668501133,0.08436363636363636,0.43228139381985536,0.9209422394320749,0.7856677524429967,0.8357534688609228,1.0,0.0,0.0,0.0
6178,6178.T,"JAPAN POST HOLDINGS Co.,Ltd.",Prime Market (Domestic),Services,True,1,0.16666666666666666,0.9407575267076724,0.7363636363636363,0.5,0.44062600838980315,0.38697068403908796,0.9825750242013552,1.0,1.0,0.0,0.0
6777,6777.T,santec Holdings Corporation,Standard Market(Domestic),Electric Appliances,False,0,0.0,0.005179669796050502,0.04690909090909091,0.7932281393819856,0.9209422394320749,0.6201954397394136,0.9667634720877702,1.0,0.0,0.0,0.0
6627,6627.T,"Tera Probe,Inc.",Standard Market(Domestic),Electric Appliances,False,0,0.0,0.3072191647782454,0.45745454545454545,0.11998685075608152,0.21022910616327847,0.9693811074918567,0.8851242336237496,1.0,0.0,0.0,0.0
6524,6524.T,"KOHOKU KOGYO CO.,LTD.",Standard Market(Domestic),Electric Appliances,False,0,0.0,0.027193266429265135,0.05709090909090909,0.5256410256410257,0.707647628267183,0.4335504885993485,0.9031945788964182,1.0,0.0,0.0,0.0
6387,6387.T,SAMCO INC.,Prime Market (Domestic),Machinery,False,0,0.0,0.028811913240530916,0.05745454545454545,0.5098619329388561,0.44062600838980315,0.1716612377850163,0.9070667957405615,1.0,0.0,0.0,0.0
5076,5076.T,INFRONEER Holdings Inc.,Prime Market (Domestic),Construction,False,1,0.16666666666666666,0.3107801877630301,0.04363636363636364,0.2172912557527942,0.02032913843175218,0.5,0.9557921910293643,1.0,0.0,0.0,0.0
6800,6800.T,"YOKOWO CO.,LTD.",Prime Market (Domestic),Electric Appliances,False,0,0.0,0.19326642926513435,0.054181818181818185,0.36752136752136755,0.9209422394320749,0.8319218241042345,0.850919651500484,1.0,0.0,0.0,0.0
9513,9513.T,"Electric Power Development Co.,Ltd.",Prime Market (Domestic),Electric Power and Gas,True,1,0.16666666666666666,0.89640660407899,0.8854545454545455,0.5,0.707647628267183,0.6622149837133551,0.9599870926105195,1.0,0.0,0.0,0.0
8050,8050.T,SEIKO GROUP CORPORATION,Prime Market (Domestic),Precision Instruments,False,0,0.0,0.25348009064422145,0.21454545454545454,0.6886916502301118,0.9209422394320749,0.7534201954397395,0.9077121652145853,1.0,0.0,0.0,0.0
6617,6617.T,"TAKAOKA TOKO CO.,LTD.",Prime Market (Domestic),Electric Appliances,False,0,0.0,0.24085464551634833,0.13018181818181818,0.42176199868507563,0.707647628267183,0.3833876221498371,0.862213617295902,1.0,0.0,0.0,0.0
6356,6356.T,"NIPPON GEAR CO.,LTD.",Standard Market(Domestic),Machinery,False,0,0.0,0.3020394949821949,0.4978181818181818,0.5486522024983563,0.21022910616327847,0.22442996742671006,0.9586963536624717,1.0,0.0,0.0,0.0
1909,1909.T,"Nippon Dry-Chemical CO.,LTD.",Standard Market(Domestic),Machinery,False,0,0.0,0.6798316607316284,0.9105454545454545,0.5706771860618014,0.9209422394320749,0.9,0.8699580509841884,1.0,0.0,0.0,0.0
4971,4971.T,MEC COMPANY LTD.,Prime Market (Domestic),Chemicals,False,0,0.0,0.02751699579151829,0.10581818181818183,0.6074950690335306,0.707647628267183,0.12345276872964173,0.9348176831235883,1.0,0.0,0.0,0.0
6278,6278.T,UNION TOOL CO.,Prime Market (Domestic),Machinery,False,0,0.0,0.040789899643897704,0.036727272727272726,0.24391847468770544,0.707647628267183,0.4576547231270358,0.9632139399806389,1.0,0.0,0.0,0.0
9503,9503.T,"The Kansai Electric Power Company,Incorporated",Prime Market (Domestic),Electric Power and Gas,True,1,0.16666666666666666,0.6824214956296536,0.9254545454545454,0.5,0.707647628267183,0.4149837133550489,0.9816069699903195,1.0,0.0,0.0,0.0
6941,6941.T,"YAMAICHI ELECTRONICS CO.,LTD.",Prime Market (Domestic),Electric Appliances,False,0,0.0,0.058271285205568145,0.10545454545454545,0.6318211702827088,0.707647628267183,0.852442996742671,0.9496611810261375,1.0,0.0,0.0,0.0
