code_n,code,company_name,sector,valuation_gap_score,capital_efficiency_improvement_score,fcf_proxy_score,execution_reliability_score,quality_trap_resistance_score,phase2_confidence_score,value_trap_penalty,value_trap_penalty_reasons,transformation_partial_score,transformation_lite_score,transformation_score,transformation_score_type,transformation_fullness_score,transformation_grade
7261,7261,Mazda Motor Corporation,Transportation Equipment,96.40790468476584,38.882063818207385,98.75,79.9375,41.36111111111111,0.98,0,none,70.33205303388695,70.17971851250557,70.33205303388695,partial,0.6499999999999999,B
7211,7211,MITSUBISHI MOTORS CORPORATION,Transportation Equipment,90.51011579228432,31.806100827386302,97.5,90.58333333333334,61.861111111111114,0.98,0,none,72.40755835974394,73.05352257993025,73.05352257993025,lite,0.5,B
9533,9533,"TOHO GAS CO.,LTD.",Electric Power and Gas,96.36415550411662,30.726432536115343,96.5,89.29166666666666,55.08333333333334,0.98,0,none,72.01938226199758,72.15491194633685,72.01938226199758,partial,0.6499999999999999,B
9507,9507,"Shikoku Electric Power Company,Incorporated",Electric Power and Gas,91.44449011496648,75.33922277870525,98.0,87.584067768776,71.68055555555556,0.8800000000000001,5,gross_profitability_proxy,78.23322237945044,77.08744958843064,78.23322237945044,partial,0.8,A
7419,7419,"Nojima Co.,Ltd.",Retail Trade,91.80596631993376,58.398229853989456,88.66666666666667,74.46783321075428,61.16666666666667,0.98,0,none,75.1795219757029,74.64038129680766,75.1795219757029,partial,0.8,B
8012,8012,"NAGASE & CO.,LTD.",Wholesale Trade,98.16520552606536,50.04105591125624,85.66666666666667,73.15754663113819,47.47222222222222,0.98,0,none,71.8458701593539,71.8507720652884,71.8458701593539,partial,0.8,B
2695,2695,"Kura Sushi,Inc.",Retail Trade,74.18754171436626,55.94412543494347,67.66666666666666,88.875,72.77777777777777,0.98,0,none,73.06555130174903,73.83018861139959,73.06555130174903,partial,0.8,B
4022,4022,"Rasa Industries,Ltd.",Chemicals,94.82273608861686,57.009481614656906,37.666666666666664,87.75921563930586,64.95833333333333,0.98,0,none,73.40902725117932,79.14677239858973,73.40902725117932,partial,0.6499999999999999,B
1333,1333,Umios Corporation,"Fishery, Agriculture and Forestry",98.6546546986001,51.19921837576261,87.0,76.73286881810562,55.68055555555556,0.98,0,none,74.32173262911385,74.30680374734358,74.32173262911385,partial,0.6499999999999999,B
1515,1515,"Nittetsu Mining Co.,Ltd.",Mining,97.29866405523022,23.569694403166856,71.5,84.27053794829024,45.83333333333333,0.98,0,none,65.62355382202718,68.79552447473928,68.79552447473928,lite,0.5,B
8111,8111,Goldwin Inc.,Textiles and Apparels,88.7386851369585,36.354159150069,80.91666666666667,56.971498582256395,40.38888888888889,0.98,0,none,61.965358468933374,61.51489365320919,61.51489365320919,lite,0.5,C
9684,9684,"SQUARE ENIX HOLDINGS CO.,LTD.",Information & Communication,79.00420504768485,28.592138709000142,88.33333333333333,81.67229268957992,59.916666666666664,0.98,0,none,66.273141993866,66.67535991523359,66.67535991523359,lite,0.5,B
6745,6745,HOCHIKI CORPORATION,Electric Appliances,87.46635762244169,79.24447593771468,61.83333333333333,88.07689472771418,80.29166666666666,0.98,0,none,82.05420486206815,83.60456020769706,82.05420486206815,partial,0.8,A
9831,9831,"YAMADA HOLDINGS CO.,LTD.",Retail Trade,77.28181214315266,35.26811423597734,89.75,76.76203199217659,49.19444444444444,0.98,0,none,65.03871386692195,64.10900723201092,64.10900723201092,lite,0.5,C
8273,8273,"IZUMI CO.,LTD.",Retail Trade,84.3397424315317,25.69797087534984,92.0,93.10416666666669,72.38888888888889,0.98,0,none,71.17231947633408,71.28217347018604,71.28217347018604,lite,0.5,B
5021,5021,"COSMO ENERGY HOLDINGS COMPANY,LIMITED",Oil and Coal Products,96.45131533701728,31.79314934740644,96.83333333333334,79.77083333333333,33.166666666666664,0.98,0,none,67.10748612661226,66.79440325846527,66.79440325846527,lite,0.5,B
1909,1909,"Nippon Dry-Chemical CO.,LTD.",Machinery,87.63705969038489,78.19115905426423,54.75,98.4375,80.56944444444444,0.98,0,none,83.03998332511011,85.90611739473599,83.03998332511011,partial,0.8,A
6454,6454,"MAX CO.,LTD.",Machinery,89.12293767118791,80.4206578526278,67.08333333333333,79.77797687947053,70.90277777777777,0.98,0,none,80.22990869746539,80.48670925787704,80.22990869746539,partial,0.8,A
8060,8060,Canon Marketing Japan Inc.,Wholesale Trade,81.5175966168902,37.87000108035166,89.0,64.1476025418833,47.16666666666667,0.98,0,none,63.924997548296815,62.880011830726176,63.924997548296815,partial,0.6499999999999999,C
1911,1911,"Sumitomo Forestry Co.,Ltd.",Construction,91.49722797618422,27.927445722520844,95.5,45.91008491302651,17.333333333333336,0.98,0,none,56.32821665493455,54.77538664117686,54.77538664117686,lite,0.5,C
3028,3028,"Alpen Co.,Ltd.",Retail Trade,79.57067222737156,40.26988662422718,55.25,81.44938393444583,72.95833333333334,0.98,0,none,67.93863403046076,69.86543456782486,67.93863403046076,partial,0.6499999999999999,B
2602,2602,"The Nisshin OilliO Group,Ltd.",Foods,96.1730943096134,53.88874365293397,75.66666666666667,76.05237960473563,45.88888888888889,0.98,0,none,71.59878735165132,71.54330951007451,71.59878735165132,partial,0.8,B
2791,2791,"DAIKOKUTENBUSSAN CO.,LTD.",Retail Trade,82.08920935357074,57.89603959386931,61.25000000000001,76.19814719189534,57.22222222222222,0.98,0,none,69.85998851950181,70.27792339554738,69.85998851950181,partial,0.8,B
9682,9682,DTS CORPORATION,Information & Communication,92.56348289961484,58.50974405857544,55.58333333333333,56.46496469522292,39.61111111111111,0.98,0,none,65.37520047731552,66.0657542974118,65.37520047731552,partial,0.8,B
5105,5105,Toyo Tire Corporation,Rubber Products,79.93070456487202,47.792523558800696,95.16666666666669,80.86940243761856,64.02777777777779,0.98,0,none,72.28165511735737,71.48003091217981,72.28165511735737,partial,0.6499999999999999,B
9997,9997,"BELLUNA CO.,LTD.",Retail Trade,84.77084871610077,49.35612009026032,56.91666666666667,67.07174510137048,56.166666666666664,0.98,0,none,66.15539389987558,67.07553977436852,66.15539389987558,partial,0.8,B
