code_n,code,company_name,sector,phase2_rank,phase2_confidence_score,transformation_score,emerging_score,transformation_quant_evidence_level,emerging_disclosure_level,final_evidence_level,transformation_grade,emerging_grade,role_candidate,final_role,ai_infrastructure_category,close,avg_trading_value_60d
7261,7261,Mazda Motor Corporation,Transportation Equipment,1,0.98,70.33205303388695,17.88571153846154,2,0,2,B,C,Transformation Core,,,1120.5,8166730167.29655
7211,7211,MITSUBISHI MOTORS CORPORATION,Transportation Equipment,2,0.98,73.05352257993025,17.660057692307692,1,0,1,B,C,Transformation Core,,,348.70001220703125,5211658271.408691
9533,9533,"TOHO GAS CO.,LTD.",Electric Power and Gas,3,0.98,72.01938226199758,17.51969230769231,2,0,2,B,C,Transformation Core,,,1210.0,1168177015.8333333
9507,9507,"Shikoku Electric Power Company,Incorporated",Electric Power and Gas,4,0.8800000000000001,78.23322237945044,23.24380769230769,3,0,3,A,C,Transformation Core,,,1416.0,1122384626.6666667
7419,7419,"Nojima Co.,Ltd.",Retail Trade,5,0.98,75.1795219757029,20.793269230769223,3,0,3,B,C,Transformation Core,,,1492.0,1256600990.0
8012,8012,"NAGASE & CO.,LTD.",Wholesale Trade,6,0.98,71.8458701593539,16.42351923076923,3,0,3,B,C,Transformation Core,,,1156.5,1227580922.5
2695,2695,"Kura Sushi,Inc.",Retail Trade,7,0.98,73.06555130174903,22.650480769230768,3,0,3,B,C,Transformation Core,,,1636.0,922079620.0
4022,4022,"Rasa Industries,Ltd.",Chemicals,8,0.98,73.40902725117932,12.273615384615386,2,1,2,B,D,Transformation Core,,,2000.0,2427613683.3333335
1333,1333,Umios Corporation,"Fishery, Agriculture and Forestry",9,0.98,74.32173262911385,15.853115384615386,2,0,2,B,C,Transformation Core,,,1258.5,835708894.1666666
1515,1515,"Nittetsu Mining Co.,Ltd.",Mining,10,0.98,68.79552447473928,12.452096153846153,1,0,1,B,C,Transformation Core,,,2412.0,2948757588.3333335
8111,8111,Goldwin Inc.,Textiles and Apparels,11,0.98,61.51489365320919,19.878230769230765,1,0,1,C,C,Bridge / Diversifier,,,2099.5,1059624842.5
9684,9684,"SQUARE ENIX HOLDINGS CO.,LTD.",Information & Communication,12,0.98,66.67535991523359,22.803423076923075,1,1,1,B,D,Transformation Core,,,2506.0,3615485590.8333335
6745,6745,HOCHIKI CORPORATION,Electric Appliances,13,0.98,82.05420486206815,20.465423076923074,3,1,3,A,D,Transformation Core,,,1930.0,705398966.8503824
9831,9831,"YAMADA HOLDINGS CO.,LTD.",Retail Trade,14,0.98,64.10900723201092,20.653480769230768,1,0,1,C,C,Bridge / Diversifier,,,607.9000244140625,2204535293.9248657
8273,8273,"IZUMI CO.,LTD.",Retail Trade,15,0.98,71.28217347018604,19.249634615384615,1,0,1,B,C,Transformation Core,,,879.0,647097245.0
5021,5021,"COSMO ENERGY HOLDINGS COMPANY,LIMITED",Oil and Coal Products,16,0.98,66.79440325846527,13.52853846153846,1,0,1,B,C,Transformation Core,,,3671.0,3314935555.0
1909,1909,"Nippon Dry-Chemical CO.,LTD.",Machinery,17,0.98,83.03998332511011,16.095692307692303,3,1,3,A,D,Transformation Core,,,3750.0,1098486153.3333333
6454,6454,"MAX CO.,LTD.",Machinery,18,0.98,80.22990869746539,20.967365384615377,3,1,3,A,D,Transformation Core,,,1640.0,539091076.6666666
8060,8060,Canon Marketing Japan Inc.,Wholesale Trade,19,0.98,63.924997548296815,21.58325,2,0,2,C,C,Bridge / Diversifier,,,3589.0,1918739823.3333333
1911,1911,"Sumitomo Forestry Co.,Ltd.",Construction,20,0.98,54.77538664117686,13.725211538461537,1,1,1,C,D,Bridge / Diversifier,,,1286.5,5753079290.0
3028,3028,"Alpen Co.,Ltd.",Retail Trade,21,0.98,67.93863403046076,21.157442307692307,2,0,2,B,C,Transformation Core,,,2015.0,375134426.6666667
2602,2602,"The Nisshin OilliO Group,Ltd.",Foods,22,0.98,71.59878735165132,13.662076923076922,3,0,3,B,C,Transformation Core,,,1739.0,538747864.448649
2791,2791,"DAIKOKUTENBUSSAN CO.,LTD.",Retail Trade,23,0.98,69.85998851950181,17.786538461538463,3,0,3,B,C,Transformation Core,,,4060.0,485456225.0
9682,9682,DTS CORPORATION,Information & Communication,24,0.98,65.37520047731552,19.716826923076923,3,1,3,B,D,Transformation Core,,,1012.0,481370001.6666667
5105,5105,Toyo Tire Corporation,Rubber Products,25,0.98,72.28165511735737,21.266480769230768,2,0,2,B,C,Transformation Core,,,3679.0,3965561160.0
9997,9997,"BELLUNA CO.,LTD.",Retail Trade,26,0.98,66.15539389987558,22.023865384615384,3,0,3,B,C,Transformation Core,,,931.0,389976626.6666667
5406,5406,"Kobe Steel,Ltd.",Iron and Steel,27,0.98,77.04753116695167,15.385942307692307,3,0,3,B,C,Transformation Core,,,1960.0,4657884126.666667
8276,8276,"HEIWADO CO.,LTD.",Retail Trade,28,0.98,70.99419479716734,19.976711538461537,2,0,2,B,C,Transformation Core,,,2500.0,328742838.3333333
1414,1414,"SHO-BOND Holdings Co.,Ltd.",Construction,29,0.98,55.70964153213559,10.211134615384612,3,1,3,C,D,Bridge / Diversifier,,,1249.5,1236836335.0
3382,3382,"Seven & i Holdings Co.,Ltd.",Retail Trade,30,0.98,73.56177056036644,18.49046153846154,2,0,2,B,C,Transformation Core,,,1834.0,14576106490.833334
3863,3863,"Nippon Paper Industries Co.,Ltd.",Pulp and Paper,31,0.98,79.35773064042226,14.37278846153846,3,0,3,A,C,Transformation Core,Transformation Core,,1224.0,1578237018.3333333
4204,4204,"Sekisui Chemical Co.,Ltd.",Chemicals,32,0.98,71.62060864528573,21.885961538461537,3,1,3,B,D,Transformation Core,,,2300.0,7323462598.333333
8278,8278,"FUJI CO.,LTD.",Retail Trade,33,0.98,76.79851399609949,21.131442307692303,3,0,3,B,C,Transformation Core,,,1927.0,256673550.0
1723,1723,"NIHON DENGI CO.,LTD.",Construction,34,0.8800000000000001,68.34454411549301,13.813403846153845,3,1,3,B,D,Transformation Core,,,2220.0,641578548.3333334
2121,2121,"MIXI,Inc.",Information & Communication,35,0.98,70.45010411830194,22.06725,3,1,3,B,D,Transformation Core,,,2715.0,757822020.0
1662,1662,"Japan Petroleum Exploration Co.,Ltd.",Mining,36,0.98,74.12423464993115,13.139673076923076,2,0,2,B,C,Transformation Core,,,1753.0,7950185018.333333
9956,9956,"VALOR HOLDINGS CO.,LTD.",Retail Trade,37,0.98,74.54011764858633,20.95757692307692,3,0,3,B,C,Transformation Core,,,3280.0,485283200.0
7516,7516,"KOHNAN SHOJI CO.,LTD.",Retail Trade,38,0.98,62.5646489928701,21.051442307692305,1,0,1,C,C,Bridge / Diversifier,,,4055.0,381394408.3333333
4922,4922,KOSE Holdings Corporation,Chemicals,39,0.98,57.61727639638009,24.945173076923076,3,1,3,C,D,Bridge / Diversifier,,,5354.0,1676975191.6666667
2212,2212,"YAMAZAKI BAKING CO.,LTD.",Foods,40,0.98,71.14255737804369,22.318288461538454,3,0,3,B,C,Transformation Core,,,3078.0,2279715938.3333335
3608,3608,"TSI HOLDINGS CO.,LTD.",Textiles and Apparels,41,0.98,19.20090695251564,22.428134615384614,2,0,2,C,C,Bridge / Diversifier,,,1161.0,596071966.6666666
6457,6457,GLORY LTD.,Machinery,42,0.8800000000000001,77.56748505228306,22.82053846153846,3,1,3,B,D,Transformation Core,,,3975.0,805967148.3333334
3405,3405,"KURARAY CO.,LTD.",Chemicals,43,0.98,61.419894956934286,18.964,0,1,1,D,D,Bridge / Diversifier,,,1610.0,2948053131.6666665
2220,2220,"KAMEDA SEIKA CO.,LTD.",Foods,44,0.98,75.63198802884553,16.967903846153845,3,0,3,B,C,Transformation Core,,,1195.0,259911348.64074707
