code,ticker,company_name,sector,phase2_rank,bm_raw,ep_raw,gross_profitability,piotroski_available_ratio,sloan_accruals,avg_daily_value_60d,distress_exclusion_flag,anomaly_flag_bool,phase1_top5_flag,top100_flag,top300_flag,top1200_flag,top2000_reference_flag,phase3_review_required,phase3_review_reasons,normalization_core_flag,normalization_robust_flag,normalization_fragile_flag,outlier_sensitive_flag,gross_profitability_proxy_flag,phase3_priority_flag,phase3_handoff_note,final_exploratory_weighted_score,gross_profitability_definition_status,gross_profitability_source,gross_profitability_proxy_note,distress_review_flag,anomaly_flags,anomaly_penalty,gp_missing_review_flag,normalization_top1200_count,sector_adjusted_candidate_flag,phase2_review_required,phase2_review_reasons,feature_missing_review_flag,phase3_review_action,rank,bm_score,ep_score,gp_score,piotroski_score,sloan_quality_score,distress_safety_score,liquidity_score,microcap_penalty,one_time_profit_penalty,missingness_penalty,phase2_selected_topn_flag,market,microcap_flag,one_time_profit_suspected,market_equity_final,liquidity_flag,in_market_percentile_top1200,in_sector_percentile_top1200,in_robust_zscore_top1200,in_winsorized_zscore_top1200,market_percentile_rank,market_percentile_score,sector_percentile_rank,sector_percentile_score,robust_zscore_rank,robust_zscore_score,winsorized_zscore_rank,winsorized_zscore_score,normalization_review_note,panel_latest_fiscal_year,panel_years_available,latest_fiscal_year,latest_revenue,latest_gross_profit,latest_operating_income,latest_net_income,latest_total_assets,latest_equity,latest_current_assets,latest_current_liabilities,latest_operating_cf,latest_capex,latest_rd_expense,latest_employees,latest_gross_margin,latest_asset_turnover,latest_current_ratio,latest_leverage,latest_roa,latest_negative_equity_flag,latest_gross_profitability_definition_status,latest_gross_profitability_proxy_flag,latest_feature_missing_review_flag,delta_roa_3y,delta_roe_3y,delta_operating_margin_3y,delta_gross_margin_3y,delta_asset_turnover_3y,delta_current_ratio_3y,delta_leverage_3y,persistent_loss_flag,negative_cfo_flag,cfo_to_net_income,latest_date,close,adj_close,volume,avg_trading_value_60d,phase2_confidence_score,negative_equity_flag,financial_missing_rate,financial_data_missing_too_much,base_hard_exclusion_reasons,base_hard_exclusion_flag,soft_review_reasons,soft_review_flag,bm_value_component,ep_value_component,gp_quality_component,piotroski_component,sloan_quality_component,liquidity_component,delta_roa_component,delta_roe_component,delta_operating_margin_component,delta_gross_margin_component,delta_asset_turnover_component,delta_current_ratio_component,delta_leverage_component,value_score,quality_score,improvement_score,improvement_component_count,execution_safety_score,liquidity_confidence_score,high_sloan_accrual_flag,value_trap_penalty,value_trap_penalty_reasons,transformation_lite_score,transformation_lite_missing_rate,transformation_scoring_reason,valuation_gap_score,capital_efficiency_improvement_score,shareholder_alignment_score,reform_evidence_score,execution_reliability_score,quality_trap_resistance_score,transformation_full_missing_rate,transformation_full_score,transformation_score,transformation_score_method,ai_infrastructure_category,emerging_evidence_level,evidence_snippet,evidence_source,source_type,rd_to_sales,employee_growth_proxy,rd_intensity_component,gross_margin_power_component,gross_profitability_power_component,intangible_capital_score,innovation_capacity_score,bottleneck_pricing_power_score,ai_infrastructure_exposure_score,data_customer_base_score,trust_safety_infrastructure_score,evidence_level_bonus,keyword_only_flag,no_revenue_evidence_flag,no_customer_or_product_evidence_flag,media_only_flag,theme_hype_penalty,financial_guardrail_penalty,emerging_score,emerging_missing_rate,emerging_penalty_reasons,transformation_evidence_level,transformation_evidence_basis,ai_keyword_only_flag,low_pbr_only_flag,evidence_level,evidence_level_label,transformation_grade,emerging_grade,transformation_grade_reason,emerging_grade_reason,role_candidate,dual_combined_score,bridge_score
1911,1911.T,"Sumitomo Forestry Co.,Ltd.",Construction,20,1.4410784809889408,0.1753426707695453,0.2039807436299393,0.3333333333333333,0.0180598200763061,5753079290.0,False,False,False,True,True,True,True,True,top100_priority_check,True,True,False,False,False,high,Top100 and normalization core. Prioritize Phase3 moat review.,0.967053585110056,original_gross_profit_over_total_assets,direct_xbrl_gross_profit_panel_confirmed,Gross Profit / Total Assets was confirmed from direct XBRL gross profit in the point-in-time panel.,False,none,0.0,False,4,False,False,none,False,Review listed reasons before Phase3 adoption.,20,0.7656199417287148,0.9229090909090908,0.3625904010519395,0.0745401742497579,0.219543973941368,1.0,0.9619232010325912,0.0,0.0,0.0,True,Prime Market (Domestic),False,False,788843921408.0,pass,True,True,True,True,20,0.953325677763584,4,0.9890634412837852,53,0.8849940642901304,97,0.7838899342543193,Core across normalization methods.,2025,3,2025,2267577000000.0,524645000000.0,168724000000.0,138318000000.0,2572032000000.0,1136786000000.0,1693747000000.0,729620000000.0,94675000000.0,,,27613.0,0.2313681078966667,0.8816286111525828,2.3214097749513445,0.5580202734647158,0.0537777134965661,False,original_gross_profit_over_total_assets,False,False,-0.0158606535558556,-0.0316541989310928,-0.0102671983470914,-0.0045177174325423,-0.0744854537729819,0.2192820140578582,0.0121969205181525,False,False,0.684473459708787,2026-06-01,1286.5,1286.5,4829800.0,5753079290.0,0.98,False,0.0,False,none,False,phase3_review_required,True,0.7975,0.92,0.3325,0.0266666666666666,0.1608333333333333,0.9275,0.175,0.1708333333333333,0.2086811352253756,0.2341880341880342,0.2312186978297161,0.6766666666666666,0.2583333333333333,91.49722797618422,17.333333333333336,27.927445722520844,7,45.91008491302651,90.92045454545456,False,0,none,54.77538664117686,0.0,value=91.5; quality=17.3; improvement=27.9; safety=45.9; penalty=0.0,91.49722797618422,27.927445722520844,,,45.91008491302651,17.333333333333336,0.3333333333333333,,54.77538664117686,lite_due_to_missing_shareholder_or_reform_inputs,,0,no verified company disclosure,,,,,,0.3188034188034188,0.3325,97.25,35.0,21.71011396011396,0.0,0.0,0.0,0,False,False,True,False,10,0,16.662820512820513,0.0,no_customer_or_product_evidence,1,1 positive three-year financial improvement indicators,False,False,1,Level 1,C,D,score=54.8; evidence=L1; trap=0.0; confidence=0.98,score=16.7; evidence=L0; hype=10.0,Bridge / Diversifier,35.719103576998684,68.50159562106975
1414,1414.T,"SHO-BOND Holdings Co.,Ltd.",Construction,29,1.667313357860232,0.2360272058306353,0.2052030505981185,0.8333333333333334,0.0431013204985807,1236836335.0,False,False,False,True,True,True,True,True,top100_priority_check,True,True,False,False,False,high,Top100 and normalization core. Prioritize Phase3 moat review.,0.9623996869718898,original_gross_profit_over_total_assets,direct_xbrl_gross_profit_panel_confirmed,Gross Profit / Total Assets was confirmed from direct XBRL gross profit in the point-in-time panel.,False,none,0.0,False,4,False,False,none,False,Review listed reasons before Phase3 adoption.,29,0.8313370022661055,0.9610909090909092,0.3655489809335963,0.707647628267183,0.1260586319218241,1.0,0.8802839625685706,0.0,0.0,0.0,True,Prime Market (Domestic),False,False,63810440610.0,pass,True,True,True,True,29,0.9467326222799504,10,0.9681595458874792,29,0.9054676281842352,377,0.729293389683499,Core across normalization methods.,2025,3,2025,90712000000.0,26503000000.0,20794000000.0,15061000000.0,129155000000.0,106392000000.0,100241000000.0,20538000000.0,9473000000.0,,,1051.0,0.2921664167916042,0.7023498896674538,4.8807576200214235,0.1762455963764469,0.116611823003368,False,original_gross_profit_over_total_assets,False,False,0.0112225524767079,0.0101632961605609,0.0132736780537192,0.0125086311760473,0.0160234258140027,0.6744199106506672,-0.021685381706641,False,False,0.6289754996348184,2026-06-01,1249.5,1249.5,813100.0,1236836335.0,0.98,False,0.0,False,none,False,phase3_review_required,True,0.88,0.9716666666666668,0.3358333333333333,0.62,0.0733333333333333,0.765,0.6208333333333333,0.5458333333333333,0.6035058430717863,0.576068376068376,0.5742904841402338,0.8991666666666667,0.5408333333333333,94.1639708708524,34.305555555555564,62.29330528495803,7,55.5288604121019,82.79545454545453,True,10,high_sloan_accrual,56.95428096632427,0.0,value=94.2; quality=34.3; improvement=62.3; safety=55.5; penalty=10.0,94.1639708708524,62.29330528495803,,,55.5288604121019,34.305555555555564,0.3333333333333333,,56.95428096632427,lite_due_to_missing_shareholder_or_reform_inputs,,0,no verified company disclosure,,,,,,0.5119658119658119,0.3358333333333333,31.25,35.0,28.25997150997151,0.0,0.0,0.0,0,False,False,True,False,10,0,5.961794871794872,0.0,no_customer_or_product_evidence,3,6 positive three-year financial improvement indicators,False,False,3,Level 3,C,D,score=57.0; evidence=L3; trap=10.0; confidence=0.98,score=6.0; evidence=L0; hype=10.0,Bridge / Diversifier,31.45803791905957,69.8089322161582
4922,4922.T,KOSE Holdings Corporation,Chemicals,39,0.9974081025416932,0.0526579275093127,0.5794171618537364,0.6666666666666666,0.0127560119756623,1676975191.6666667,False,False,False,True,True,True,True,True,top100_priority_check,True,True,False,False,False,high,Top100 and normalization core. Prioritize Phase3 moat review.,0.9581383359160324,original_gross_profit_over_total_assets,direct_xbrl_gross_profit_panel_confirmed,Gross Profit / Total Assets was confirmed from direct XBRL gross profit in the point-in-time panel.,False,none,0.0,False,4,False,False,none,False,Review listed reasons before Phase3 adoption.,39,0.5730009711880868,0.2869090909090909,0.8593030900723209,0.4406260083898031,0.2456026058631921,1.0,0.8999677315262988,0.0,0.0,0.0,True,Prime Market (Domestic),False,False,305576021714.0,pass,True,True,True,True,39,0.9406956779566304,110,0.9049151491283484,43,0.8891357595416305,354,0.7319773793832448,Core across normalization methods.,2025,3,2025,330193000000.0,227974000000.0,18467000000.0,16091000000.0,393454000000.0,304784000000.0,228947000000.0,63212000000.0,11138000000.0,,,8566.0,0.6904265081331221,0.8392162743294006,3.621891413022844,0.2253605249914856,0.0408967757349016,False,original_gross_profit_over_total_assets,False,False,0.0071802037343743,0.0085215589982576,0.0027165760356042,-0.0126120463564686,0.0309279870107169,-0.034009703404588,-0.0130824479647616,False,False,0.6921881797277981,2026-06-01,5354.0,5354.0,465300.0,1676975191.6666667,0.98,False,0.0,False,none,False,phase3_review_required,True,0.5641666666666667,0.2508333333333333,0.8841666666666667,0.3308333333333333,0.1883333333333333,0.805,0.5466666666666666,0.5225,0.4181969949916527,0.1401709401709401,0.6427378964941569,0.3625,0.4716666666666667,66.51527067712448,46.77777777777778,44.34913092842976,7,55.027352246597474,84.79545454545455,False,0,none,57.6649788482438,0.0,value=66.5; quality=46.8; improvement=44.3; safety=55.0; penalty=0.0,66.51527067712448,44.34913092842976,,,55.027352246597474,46.77777777777778,0.3333333333333333,,57.6649788482438,lite_due_to_missing_shareholder_or_reform_inputs,,0,no verified company disclosure,,,,,,0.9487179487179488,0.8841666666666667,86.5,35.0,61.09615384615385,0.0,0.0,0.0,0,False,False,True,False,10,0,21.817307692307693,0.0,no_customer_or_product_evidence,3,4 positive three-year financial improvement indicators,False,False,3,Level 3,C,D,score=57.7; evidence=L3; trap=0.0; confidence=0.98,score=21.8; evidence=L0; hype=10.0,Bridge / Diversifier,39.74114327027574,70.23535094530992
3405,3405.T,"KURARAY CO.,LTD.",Chemicals,43,1.5276641889637002,0.0774720501138713,0.1891107938483066,0.5,-0.0464738593212676,2948053131.6666665,False,False,False,True,True,True,True,True,top100_priority_check,True,True,False,False,False,high,Top100 and normalization core. Prioritize Phase3 moat review.,0.9561473100492096,original_gross_profit_over_total_assets,direct_xbrl_gross_profit_panel_confirmed,Gross Profit / Total Assets was confirmed from direct XBRL gross profit in the point-in-time panel.,False,none,0.0,False,4,False,False,none,False,Review listed reasons before Phase3 adoption.,43,0.7966979605050178,0.5345454545454545,0.3228139381985536,0.2102291061632784,0.7234527687296417,1.0,0.9380445304937076,0.0,0.0,0.0,True,Prime Market (Domestic),False,False,494333116830.0,pass,True,True,True,True,43,0.9378750438087408,49,0.9281467172545458,78,0.8750356712913916,324,0.734254548473419,Core across normalization methods.,2025,3,2025,808447000000.0,246508000000.0,58882000000.0,7468000000.0,1303511000000.0,755175000000.0,578403000000.0,228229000000.0,98591000000.0,,,12117.0,0.3049154737416306,0.6202072709781505,2.5343098379259428,0.4206600481315463,0.0057291422933906,False,original_gross_profit_over_total_assets,False,False,-0.0281062562964688,-0.0477698759031856,-0.0238131271820609,-0.0023842094598527,-0.0023095387086931,-0.2164716808379863,0.0074793405104907,False,False,13.20179432244242,2026-06-01,1610.0,1610.0,1616800.0,2948053131.6666665,0.98,False,0.0,False,none,False,phase3_review_required,True,0.8416666666666667,0.5166666666666667,0.2866666666666667,0.1258333333333333,0.7391666666666667,0.8825,0.0975,0.11,0.1010016694490818,0.2794871794871795,0.4874791318864774,0.205,0.2933333333333333,80.6088773599155,38.38888888888889,22.48287591651532,7,80.97916666666667,88.67045454545455,False,0,none,61.419894956934286,0.0,value=80.6; quality=38.4; improvement=22.5; safety=81.0; penalty=0.0,80.6088773599155,22.48287591651532,,,80.97916666666667,38.38888888888889,0.3333333333333333,,61.419894956934286,lite_due_to_missing_shareholder_or_reform_inputs,,0,no verified company disclosure,,,,,,0.5444444444444444,0.2866666666666667,91.08333333333334,35.0,27.703703703703702,0.0,0.0,0.0,0,False,False,True,False,10,0,16.631666666666668,0.0,no_customer_or_product_evidence,0,0 positive three-year financial improvement indicators,False,True,0,Level 0,D,D,score=61.4; evidence=L0; trap=0.0; confidence=0.98,score=16.6; evidence=L0; hype=10.0,Bridge / Diversifier,39.02578081180047,72.48830061052422
9101,9101.T,Nippon Yusen Kabushiki Kaisha,Marine Transportation,48,1.395165378282858,0.2286358618174065,0.0978776267942344,1.0,-0.0050799515583391,23408384221.666668,False,False,False,True,True,True,True,True,top100_priority_check,True,True,False,False,False,high,Top100 and normalization core. Prioritize Phase3 moat review.,0.9539927668401804,original_gross_profit_over_total_assets,direct_xbrl_gross_profit_panel_confirmed,Gross Profit / Total Assets was confirmed from direct XBRL gross profit in the point-in-time panel.,False,none,0.0,False,4,False,False,none,False,Review listed reasons before Phase3 adoption.,48,0.7500809323405633,0.9585454545454546,0.071663379355687,0.9209422394320748,0.3710097719869707,1.0,0.9922555663117134,0.0,0.0,0.0,True,Prime Market (Domestic),False,False,2128760537088.0,pass,True,True,True,True,48,0.934822758928992,18,0.957136302702684,48,0.8871175740588745,2,0.9682657549349656,Core across normalization methods.,2025,3,2025,2588700000000.0,469338000000.0,210820000000.0,486711000000.0,4320269000000.0,2969973000000.0,696334000000.0,523106000000.0,510755000000.0,,,35230.0,0.1813025843087264,0.5991987998895439,1.3311527682725872,0.3125488250847343,0.1126575683134545,False,original_gross_profit_over_total_assets,False,False,-0.1588296204340476,-0.2422038784005421,-0.0318422212474438,-0.0137039636912092,-0.0934690877411653,-0.1119192468606504,-0.0188968417064647,False,False,1.049400979225865,2026-06-01,5275.0,5275.0,3036200.0,23408384221.666668,0.98,False,0.0,False,none,False,phase3_review_required,True,0.7791666666666667,0.9683333333333334,0.0425,0.8929166666666667,0.3216666666666666,0.985,0.005,0.0083333333333333,0.0734557595993322,0.1333333333333333,0.1752921535893155,0.28,0.5216666666666667,90.9864765407919,41.90277777777778,17.10116066459973,7,71.15917890698998,93.79545454545456,False,0,none,62.708111886656525,0.0,value=91.0; quality=41.9; improvement=17.1; safety=71.2; penalty=0.0,90.9864765407919,17.10116066459973,,,71.15917890698998,41.90277777777778,0.3333333333333333,,62.708111886656525,lite_due_to_missing_shareholder_or_reform_inputs,,0,no verified company disclosure,,,,,,0.1957264957264957,0.0425,98.16666666666669,35.0,7.940883190883191,0.0,0.0,0.0,0,False,False,True,False,10,0,14.349358974358974,0.0,no_customer_or_product_evidence,0,0 positive three-year financial improvement indicators,False,True,0,Level 0,D,D,score=62.7; evidence=L0; trap=0.0; confidence=0.98,score=14.3; evidence=L0; hype=10.0,Bridge / Diversifier,38.52873543050775,73.26123076835756
6196,6196.T,"Strike Group Co.,Ltd.",Services,49,0.8967935860863916,0.1971107645037531,0.4813003805533472,0.6666666666666666,0.0367764413569139,648150802.1563721,False,False,False,True,True,True,True,True,top100_priority_check,True,True,False,False,False,high,Top100 and normalization core. Prioritize Phase3 moat review.,0.9530167069791876,original_gross_profit_over_total_assets,direct_xbrl_gross_profit_panel_confirmed,Gross Profit / Total Assets was confirmed from direct XBRL gross profit in the point-in-time panel.,False,none,0.0,False,4,False,False,none,False,Review listed reasons before Phase3 adoption.,49,0.513434768533506,0.9432727272727272,0.797172912557528,0.4406260083898031,0.1446254071661238,1.0,0.8270409809616005,0.0,0.0,0.0,True,Prime Market (Domestic),False,False,23945891600.0,pass,True,True,True,True,49,0.9334400005127518,16,0.9620882166261532,37,0.8974853333696812,578,0.7158810583977971,Core across normalization methods.,2025,3,2025,20314153000.0,11918514000.0,6332319000.0,4719993000.0,24763151000.0,21474522000.0,21150281000.0,3036412000.0,3847407000.0,,,452.0,0.5867098667613658,0.8203379691057895,6.965550458896883,0.1328032930865704,0.19060550896774,False,original_gross_profit_over_total_assets,False,False,-0.0208666773802964,-0.0468270765010674,-0.0645392106160562,-0.0821394521235591,0.064197440250867,2.726803683669596,-0.0740434430035957,False,False,0.8151298105738716,2026-06-01,1247.0,1247.0,400100.0,648150802.1563721,0.98,False,0.0,False,none,False,phase3_review_required,True,0.4916666666666666,0.9458333333333332,0.8225,0.3308333333333333,0.0875,0.6583333333333333,0.1333333333333333,0.1133333333333333,0.028380634390651,0.0145299145299145,0.7604340567612687,0.995,0.8733333333333333,83.32570542847262,41.36111111111111,41.69063722402621,7,54.04328929884006,77.46212121212122,True,10,high_sloan_accrual,50.16293127654938,0.0,value=83.3; quality=41.4; improvement=41.7; safety=54.0; penalty=10.0,83.32570542847262,41.69063722402621,,,54.04328929884006,41.36111111111111,0.3333333333333333,,50.16293127654938,lite_due_to_missing_shareholder_or_reform_inputs,,0,no verified company disclosure,,,,,,0.8914529914529915,0.8225,11.5,35.0,57.13176638176639,0.0,0.0,0.0,0,False,False,True,False,10,0,7.60371794871795,0.0,no_customer_or_product_evidence,2,2 positive three-year financial improvement indicators,False,False,2,Level 2,C,D,score=50.2; evidence=L2; trap=10.0; confidence=0.98,score=7.6; evidence=L0; hype=10.0,Bridge / Diversifier,28.883324612633665,65.73412240229327
4118,4118.T,KANEKA CORPORATION,Chemicals,50,1.4091805817343177,0.0767092364295211,0.2452271005702374,0.8333333333333334,-0.0161387618496515,1211886806.6666667,False,False,False,True,True,True,True,True,outlier_sensitive;top100_priority_check,True,True,False,True,False,high,Top100 and normalization core. Prioritize Phase3 moat review.,0.9529226958361652,original_gross_profit_over_total_assets,direct_xbrl_gross_profit_panel_confirmed,Gross Profit / Total Assets was confirmed from direct XBRL gross profit in the point-in-time panel.,False,none,0.0,False,4,False,True,outlier_sensitive,False,Review listed reasons before Phase3 adoption.,50,0.7552606021366138,0.5269090909090909,0.4760026298487837,0.707647628267183,0.4690553745928338,1.0,0.8786705388835108,0.0,0.0,0.0,True,Prime Market (Domestic),False,False,349436407500.0,pass,True,True,True,True,50,0.9333068173910704,68,0.9174479774511616,72,0.8775736582832167,664,0.7099233023985976,Core across normalization methods.,2025,3,2025,807200000000.0,225644000000.0,40050000000.0,26805000000.0,920143000000.0,492419000000.0,444524000000.0,294933000000.0,41252000000.0,,,11512.0,0.2795391476709613,0.8772549484156267,1.507203330926007,0.4648451382013447,0.0291313415414777,False,original_gross_profit_over_total_assets,False,False,-0.0016286502810715,-0.0007268566304958,0.0031935891917681,0.0163472014297216,-0.0884777000562121,-0.0299749746943027,0.0224744441402183,False,False,1.5389666107069575,2026-06-01,5553.0,5553.0,479800.0,1211886806.6666667,0.8800000000000001,False,0.0,False,none,False,phase3_review_required;outlier_sensitive,True,0.785,0.5108333333333334,0.4716666666666667,0.62,0.4375,0.7608333333333334,0.3566666666666667,0.415,0.4298831385642738,0.6410256410256411,0.1911519198664441,0.3633333333333333,0.2008333333333333,78.66470320438913,50.97222222222223,37.1127718969956,7,76.0079159671703,78.04166666666667,False,5,outlier_sensitive,59.22215964526103,0.0,value=78.7; quality=51.0; improvement=37.1; safety=76.0; penalty=5.0,78.66470320438913,37.1127718969956,,,76.0079159671703,50.97222222222223,0.3333333333333333,,59.22215964526103,lite_due_to_missing_shareholder_or_reform_inputs,,0,no verified company disclosure,,,,,,0.4700854700854701,0.4716666666666667,90.25,35.0,31.391737891737893,0.0,0.0,0.0,0,False,False,True,False,10,0,17.14551282051282,0.0,no_customer_or_product_evidence,2,2 positive three-year financial improvement indicators,False,False,2,Level 2,C,D,score=59.2; evidence=L2; trap=5.0; confidence=0.88,score=17.1; evidence=L0; hype=10.0,Bridge / Diversifier,38.183836232886925,67.53329578715662
1861,1861.T,"Kumagai Gumi Co.,Ltd.",Construction,53,3.0457050432770667,0.1566830647191244,0.0828373326876136,0.8333333333333334,0.0024113620108306,1539420790.0,False,False,False,True,True,True,True,True,gross_profitability_unverified;top100_priority_check,True,True,False,False,True,high,Top100 and normalization core. Prioritize Phase3 moat review.,0.951732878671953,phase2_snapshot_metric_source_unverified,phase2_snapshot_metric_source_unverified,"Phase2 snapshot contains a gross_profitability value, but direct historical XBRL source was not confirmed for this row.",False,none,0.0,False,4,False,False,none,False,Review listed reasons before Phase3 adoption.,53,0.9601812884428618,0.8981818181818182,0.0466798159105851,0.707647628267183,0.3127035830618893,1.0,0.8948047757341078,0.0,0.0,0.0,True,Prime Market (Domestic),False,False,59700134260.0,pass,True,True,True,True,53,0.931621234607318,79,0.913527958525917,8,0.9321787824612576,138,0.7628006199849419,Core across normalization methods.,2025,3,2025,498581000000.0,,14299000000.0,9354000000.0,462533000000.0,181829000000.0,357413000000.0,229398000000.0,8233000000.0,,,4536.0,,1.077936060778366,1.5580475854192275,0.6068821035472064,0.0202234218963836,False,operating_profitability_proxy,True,True,-0.0009447713865049,0.004505283722384,0.0002210449442997,,0.0066444107053538,-0.1870525187218426,0.0578604654216255,False,False,0.8801582210818901,2026-06-01,1391.0,1391.0,769400.0,1539420790.0,0.8300000000000001,False,0.0,False,none,False,phase3_review_required;gross_profitability_proxy;feature_missing_review,True,0.9791666666666666,0.8925,0.0266666666666666,0.62,0.2633333333333333,0.7958333333333333,0.3741666666666666,0.4775,0.3681135225375626,,0.5342237061769616,0.2208333333333333,0.0875,92.92039649499756,30.33333333333333,34.37228714524207,6,63.4186444301903,77.51893939393939,False,5,gross_profitability_proxy,56.25286586964634,0.0,value=92.9; quality=30.3; improvement=34.4; safety=63.4; penalty=5.0,92.92039649499756,34.37228714524207,,,63.4186444301903,30.33333333333333,0.3333333333333333,,56.25286586964634,lite_due_to_missing_shareholder_or_reform_inputs,,0,no verified company disclosure,,,,,,,0.0266666666666666,73.91666666666666,35.0,1.3333333333333337,0.0,0.0,0.0,0,False,False,True,False,10,0,8.794999999999998,0.0,no_customer_or_product_evidence,3,3 positive three-year financial improvement indicators,False,False,3,Level 3,C,D,score=56.3; evidence=L3; trap=5.0; confidence=0.83,score=8.8; evidence=L0; hype=10.0,Bridge / Diversifier,32.52393293482317,63.93353770360599
8218,8218.T,"KOMERI CO.,LTD.",Retail Trade,67,1.5069430685806602,0.0839318272376056,0.3366799341024825,0.6666666666666666,-0.024755369237089,345641491.6666667,False,False,False,True,True,True,True,True,outlier_sensitive;top100_priority_check,True,True,False,True,False,high,Top100 and normalization core. Prioritize Phase3 moat review.,0.947410814930544,original_gross_profit_over_total_assets,direct_xbrl_gross_profit_panel_confirmed,Gross Profit / Total Assets was confirmed from direct XBRL gross profit in the point-in-time panel.,False,none,0.0,False,4,False,True,outlier_sensitive,False,Review listed reasons before Phase3 adoption.,67,0.7905471026222078,0.5909090909090909,0.6433267587113741,0.4406260083898031,0.5465798045602606,1.0,0.7479832203936754,0.0,0.0,0.0,True,Prime Market (Domestic),False,False,163454084720.0,pass,True,True,True,True,68,0.9254982802140488,356,0.8648843840988574,642,0.7913888037241155,705,0.7081120819356027,Core across normalization methods.,2025,3,2025,365074000000.0,116064000000.0,22396000000.0,13719000000.0,386661000000.0,246316000000.0,181484000000.0,105740000000.0,23120000000.0,,,3953.0,0.3179191068112218,0.9441707335366122,1.7163230565538112,0.3629665262335741,0.0354806923894574,False,original_gross_profit_over_total_assets,False,False,-0.0118259345783084,-0.019501078082938,-0.0098942087752703,-0.0057552309045264,-0.0677749092230887,0.0411762469530543,-0.0079350280558717,False,False,1.6852540272614622,2026-06-01,3415.0,3415.0,78200.0,345641491.6666667,0.8800000000000001,False,0.0,False,none,False,phase3_review_required;outlier_sensitive,True,0.8325,0.5725,0.6683333333333333,0.3308333333333333,0.5166666666666666,0.5,0.2191666666666666,0.2366666666666666,0.2136894824707846,0.2094017094017094,0.2504173622704507,0.4625,0.4241666666666667,79.88456660782266,50.52777777777777,28.800122202042072,7,75.64900867410161,65.0,False,5,outlier_sensitive,56.4607517131311,0.0,value=79.9; quality=50.5; improvement=28.8; safety=75.6; penalty=5.0,79.88456660782266,28.800122202042072,,,75.64900867410161,50.52777777777777,0.3333333333333333,,56.4607517131311,lite_due_to_missing_shareholder_or_reform_inputs,,0,no verified company disclosure,,,,,,0.5811965811965812,0.6683333333333333,70.83333333333334,35.0,41.65099715099715,0.0,0.0,0.0,0,False,False,True,False,10,0,15.497179487179489,0.0,no_customer_or_product_evidence,1,1 positive three-year financial improvement indicators,False,False,1,Level 1,C,D,score=56.5; evidence=L1; trap=5.0; confidence=0.88,score=15.5; evidence=L0; hype=10.0,Bridge / Diversifier,35.9789656001553,65.87645102787866
9104,9104.T,"Mitsui O.S.K.Lines,Ltd.",Marine Transportation,68,1.4728756301975552,0.2305752586651844,0.0568779194103095,0.5,0.0129072208515858,31165115151.666668,False,False,False,True,True,True,True,True,top100_priority_check,True,True,False,False,False,high,Top100 and normalization core. Prioritize Phase3 moat review.,0.947350533257788,original_gross_profit_over_total_assets,direct_xbrl_gross_profit_panel_confirmed,Gross Profit / Total Assets was confirmed from direct XBRL gross profit in the point-in-time panel.,False,none,0.0,False,4,False,False,none,False,Review listed reasons before Phase3 adoption.,68,0.7766267400453221,0.9592727272727272,0.0213675213675213,0.2102291061632784,0.2449511400651466,1.0,0.994514359470797,0.0,0.0,0.0,True,Prime Market (Domestic),False,False,1849591332864.0,pass,True,True,True,True,69,0.925412880748627,90,0.9100516615270848,58,0.8818706997996812,3,0.9613334859007164,Core across normalization methods.,2025,3,2025,1775470000000.0,317665000000.0,150851000000.0,426470000000.0,4984449000000.0,2724218000000.0,570022000000.0,523340000000.0,360499000000.0,-454192000000.0,,10500.0,0.1789188214951534,0.35620185902193,1.0892001375778653,0.4534563399083831,0.0855601090511709,False,original_gross_profit_over_total_assets,False,False,-0.1383979948625028,-0.2554224655995845,0.0175259670952192,0.0328385874481653,-0.0960630934350685,0.4338553553382153,-0.0029166331207027,False,False,0.8453091659436771,2026-06-01,5385.0,5385.0,2656300.0,31165115151.666668,0.98,False,0.0,False,none,False,phase3_review_required,True,0.8141666666666667,0.9691666666666666,0.0116666666666666,0.1258333333333333,0.1875,0.99,0.0058333333333333,0.0075,0.654424040066778,0.8264957264957264,0.1686143572621035,0.82,0.3708333333333333,90.46994689022613,10.833333333333332,40.76715414987536,7,52.75386457429596,94.04545454545456,False,0,none,57.41639993311423,0.0,value=90.5; quality=10.8; improvement=40.8; safety=52.8; penalty=0.0,90.46994689022613,40.76715414987536,,,52.75386457429596,10.833333333333332,0.3333333333333333,,57.41639993311423,lite_due_to_missing_shareholder_or_reform_inputs,,0,no verified company disclosure,,,,,,0.1888888888888888,0.0116666666666666,88.91666666666667,35.0,6.685185185185184,0.0,0.0,0.0,0,False,False,True,False,10,0,12.458333333333332,0.0,no_customer_or_product_evidence,3,3 positive three-year financial improvement indicators,False,False,3,Level 3,C,D,score=57.4; evidence=L3; trap=0.0; confidence=0.98,score=12.5; evidence=L0; hype=10.0,Bridge / Diversifier,34.93736663322378,70.08620359623217
