rank,code,ticker,company_name,sector,final_exploratory_weighted_score,bm_score,ep_score,gp_score,piotroski_score,sloan_quality_score,distress_safety_score,liquidity_score,anomaly_penalty,microcap_penalty,one_time_profit_penalty,missingness_penalty,bm_raw,ep_raw,gross_profitability,piotroski_available_ratio,sloan_accruals,avg_daily_value_60d,distress_exclusion_flag,anomaly_flags,gp_missing_review_flag,phase1_top5_flag,phase2_selected_topn_flag,phase3_priority_flag,phase3_handoff_note,market,distress_review_flag,microcap_flag,one_time_profit_suspected,market_equity_final,liquidity_flag,robust_zscore_score,robust_zscore_rank
9,1333,1333.T,Umios Corporation,"Fishery, Agriculture and Forestry",0.9818830469903836,1.0,1.0,0.24807426952928685,1.0,0.4886009784862183,1.0,1.0,0.0,0.0,0.0,0.0,4.33046990092831,0.4689838080262125,0.2137340706477141,1.0,-0.0138269283642717,835708894.1666666,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.,Prime Market (Domestic),False,False,False,63594946114.5,pass,1.0,1
10,1515,1515.T,"Nittetsu Mining Co.,Ltd.",Mining,0.980881397611317,1.0,0.8832957432906583,0.18718993484837756,0.8333333333333334,0.5330861015785632,1.0,1.0,0.0,0.0,0.0,0.0,3.9995725898048793,0.2524422441216311,0.1425228683606809,0.8333333333333334,-0.0345753965888674,2948757588.3333335,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.,Prime Market (Domestic),False,False,False,37996810056.0,pass,0.9874556998880336,2
3,9533,9533.T,"TOHO GAS CO.,LTD.",Electric Power and Gas,0.9905049928140924,0.9530748210617966,0.7539223871237025,0.26009738835162316,0.6666666666666665,0.6244770874725505,1.0,1.0,0.0,0.0,0.0,0.0,3.7970202710801617,0.2155456004765327,0.2277964850777249,0.6666666666666666,-0.0772013990593917,1168177015.8333333,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.,Prime Market (Domestic),False,False,False,118091020850.0,pass,0.9835546150419382,3
22,2602,2602.T,"The Nisshin OilliO Group,Ltd.",Foods,0.965679975275605,0.8790959150863895,0.8750123301240373,0.2296813847105288,0.8333333333333334,0.49749413281257915,1.0,0.9510331676467899,0.0,0.0,0.0,0.0,3.5048336109921365,0.2500798555060067,0.1922214853770505,0.8333333333333334,-0.0179748168521576,538747864.448649,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.,Prime Market (Domestic),False,False,False,56517946923.0,pass,0.9618375215105546,4
6,8012,8012.T,"NAGASE & CO.,LTD.",Wholesale Trade,0.9858411683359852,0.8099803396118099,0.7305475384893475,0.2571339012170391,0.8333333333333334,0.485884637452625,1.0,1.0,0.0,0.0,0.0,0.0,3.2318551329825733,0.2088792088339837,0.2243303474756324,0.8333333333333334,-0.0125599898530377,1227580922.5,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.,Prime Market (Domestic),False,False,False,125766466402.5,pass,0.9610301380349052,5
31,3863,3863.T,"Nippon Paper Industries Co.,Ltd.",Pulp and Paper,0.9615501648673708,0.9048802512959357,0.46942071417742265,0.16123973694420474,0.8333333333333334,0.5260851180759516,1.0,1.0,0.0,0.0,0.0,0.0,3.606671276476924,0.134407125336515,0.1121711399230203,0.8333333333333334,-0.0313100423839725,1578237018.3333333,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.,Prime Market (Domestic),False,False,False,141525235008.0,pass,0.9528041154264262,6
7,2695,2695.T,"Kura Sushi,Inc.",Retail Trade,0.9828227566197852,0.3275971233233486,0.1949210015431203,0.8207672529400557,0.6666666666666665,0.6132423495885936,1.0,1.0,0.0,0.0,0.0,0.0,1.3266371658947702,0.0561211599892185,0.8835641033443901,0.6666666666666666,-0.0719613640590827,922079620.0,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.,Prime Market (Domestic),False,False,False,65020038800.0,pass,0.9336584160332003,7
53,1861,1861.T,"Kumagai Gumi Co.,Ltd.",Construction,0.951732878671953,0.7628488929554549,0.5475284430922911,0.13615984389609953,0.8333333333333334,0.45378576522197545,1.0,1.0,0.0,0.0,0.0,0.0,3.0457050432770667,0.1566830647191244,0.0828373326876136,0.8333333333333334,0.0024113620108306,1539420790.0,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.,Prime Market (Domestic),False,False,False,59700134260.0,pass,0.9321787824612577,8
2592,7201,7201.T,"NISSAN MOTOR CO.,LTD.",Transportation Equipment,0.6421711724341406,1.0,0.5,0.13575859425197587,0.5,0.6036542697263235,1.0,1.0,0.0,0.0,0.0,0.1666666666666666,4.148704126459534,,0.0823680252750412,0.5,-0.0674893528218826,10862678272.83381,False,,False,False,False,reference,Use as candidate universe sensitivity reference.,Prime Market (Domestic),False,False,False,1312541900800.0,pass,0.9304075674114483,9
1,7261,7261.T,Mazda Motor Corporation,Transportation Equipment,1.0,0.640105640290771,0.5690747966272476,0.26023943440457253,0.5,0.5480899705178705,1.0,1.0,0.0,0.0,0.0,0.0,2.5609190009374183,0.1628279785698918,0.2279626242047051,0.5,-0.0415734057274953,8166730167.29655,False,,False,False,True,priority_top100,Priority qualitative moat/theme validation.,Prime Market (Domestic),False,False,False,706788851712.0,pass,0.9287446459314649,10
